start_station_name
S Michigan Ave & E 118th St
Tripp Ave & 65th St
Lawndale Ave & 16th St
Public Rack - State ST & 42nd St
Public Rack - Western Ave & 111th St - SE
Komensky Ave & 31st St
Elizabeth St & 59th St
Public Rack - Devon Ave & Central Ave
Rockwell St & Cermak Rd
Public Rack - Lafayette Ave & 87th St - NW
Public Rack - Kingston Ave & 75th St
Conservatory Dr & Lake St
Public Rack - Western Ave & 47th Pl
Ellis Ave & 53rd St
Marshfield Ave & 44th St
State St & 95th St
Public Rack - Houston Ave & 131st St
Whipple/Irving Park
Exchange Ave & 79th St
Sacramento Blvd & Polk St
Public Rack - Christiana Ave & Bryn Mawr Ave
Public Rack - Sacramento Ave & Devon Ave
Hamlin Ave & 62nd Pl
Public Rack - Jonathan Y Scammon Public School
Washtenaw Ave & Polk St
Cottage Grove Ave & 71st St
Public Rack - Pulaski Rd & 44th St
Plainfield & Irving Park
Richmond St & 59th St
Public Rack - Central Ave & North Ave
Maryland Ave & 104th St
Stony Island Ave & 90th St
Carpenter St & 63rd St
Kilbourn Ave & Roscoe St
Karlov Ave & Lawrence Ave
Kedzie Ave & 52nd St
Public Rack - Central & Berteau
Halsted St & 59th St
Public Rack - Olmstead Ave & Oliphant Ave
Public Rack - Spaulding Ave & North Ave
Kilpatrick Ave & Parker Ave
Public Rack - Pulaski Rd & Stevens Ave
Whipple St & Roosevelt Rd
Public Rack - Richard Daley College
Public Rack - Menard Ave & Grand Ave
Public Rack - Ewing Ave & 106th St
W 103rd St & S Avers Ave
Public Rack - N Narragansett Ave & Grand Ave
Spaulding Ave & 63rd St
Public Rack - Melvina Ave & Belmont Ave
Public Rack - S. Kilpatrick and W. 79th
Public Rack - St Louis & Columbus
Public Rack - Milwaukee Ave & Sunnyside Ave
Narragansett & Wrightwood
Public Rack - Prairie Ave & Garfield Blvd N
Public Rack - Sawyer Ave & Chicago Ave
Public Rack - Komensky Ave & 63rd St
Mayfield & Roosevelt Rd
Meade Ave & Diversey Ave
Public Rack - Cicero Ave & North Ave
Public Rack - Kenneth Ave & 63rd St W
Public Rack - Francisco Ave & Touhy Ave
Eberhart Ave & 61st St
Ashland Ave & McDowell Ave
Public Rack - Lawrence Ave & Kimball Ave
Public Rack - Avenue J & 106th St
Narragansett & Irving Park
Public Rack - Homan Ave & 62nd Pl
Public Rack - Karlov Ave & Milwaukee Ave
Public Rack - Kedzie Ave & Chicago Ave
Public Rack - Kedzie Ave & 58th St
Monticello Ave & Lawrence Ave
Public Rack - Kimball Ave & Lawrence Ave
Burnham Greenway & 112th St
Public Rack - Milwaukee Ave & Lawrence Ave
Central Ave & Roscoe St
Public Rack - Pulaski Rd & 83rd St
Monticello Ave & Chicago Ave
Public Rack - Ewing Ave & 105th St
Public Rack - N. Oakview and W. Gregory St
Public Rack - Campbell Ave & Pratt Blvd
Public Rack - Talman Ave & Pershing Rd
Public Rack - Western Ave & 110th St
Western Ave & 111th St
Halsted St & 104th St
Public Rack - Peterson Ave & Drake Ave
Clyde Ave & 87th St
DuSable Lake Shore Dr & Monroe St
Clinton St & Madison St
Racine Ave & Garfield Blvd
Marshfield Ave & 59th St
Public Rack - Garfield Park Conservatory
Shore Dr & 55th St
Carpenter St & Huron St
Ashland Ave & Blackhawk St
Wentworth Ave & 33rd St
Public Rack - Leader & Caldwell
Public Rack - Oketo Ave & Belmont Ave
Long Ave & Belden Ave
Public Rack - St Louis Ave & Berteau Ave
Kildare Ave & Chicago Ave
Public Rack - Mason Ave & Roosevelt Rd
Public Rack - Lemont Ave & Keating Ave
Public Rack - Independence Blvd & Roosevelt
Public Rack - Pulaski Rd & 51st Rd
Public Rack - State St & 47th st
Indiana Ave & 103rd St
Public Rack - Kildare Ave & North Ave
Cornell Ave & Hyde Park Blvd
Cottage Grove Ave & 67th St
Loomis St & Archer Ave
Southport Ave & Clark St
Glenwood Ave & Touhy Ave
Prospect Sq & 91st St
Public Rack - Lawndale Ave & 63rd St
Public Rack - Lafayette Ave & 95th St
Public Rack - Kenton Ave & Palmer St
Public Rack - Cicero Ave & Wellington Ave
Public Rack - Ashland Ave & 63rd St
Ashland Ave & Augusta Blvd
Stetson Ave & South Water St
McClurg Ct & Ohio St
Desplaines St & Jackson Blvd
Adler Planetarium
Wood St & Taylor St (Temp)
Kimball Ave & Belmont Ave
Public Rack - Linder Ave & 64th Pl
Wabash Ave & 83rd St
Kildare & Cermak
Houston Ave & 92nd St
Ashland Ave & Belle Plaine Ave
Harper Ave & 59th St
Indiana Ave & 26th St
Stony Island Ave & 67th St
Kosciuszko Park
Phillips Ave & 79th St
Ashland Ave & Garfield Blvd
Karlov Ave & Armitage Ave
Yates Blvd & 93rd St
Public Rack - East End Ave & 87th St
Dauphin Ave & 103rd St
Public Rack - Northwest Hwy & Raven St
Kedzie Ave & 57th St
California Ave & 36th St
Public Rack - Elston Ave & Gunnison St
Public Rack - Houston Ave & 91st St
Franklin St & Jackson Blvd
Damen Ave & Foster Ave
Ogden Ave & Race Ave
Richmond St & Diversey Ave
Michigan Ave & 8th St
Damen Ave & Pierce Ave
Larrabee St & Kingsbury St
Milwaukee Ave & Grand Ave
Racine Ave & Belmont Ave
Racine Ave & Fullerton Ave
Canal St & Monroe St
Artesian Ave & Hubbard St
Racine Ave & 15th St
Drake Ave & Addison St
Woodlawn Ave & 55th St
University Ave & 59th St
Michigan Ave & Ida B Wells Dr
Public Rack - Austin & Higgins
Public Rack - Western Ave & 107th St
Public Rack - Keystone Ave & Irving Park Rd
Dusable Harbor
McCormick Place
Cityfront Plaza Dr & Pioneer Ct
Clinton St & Jackson Blvd
Elston Ave & Cortland St
Summit Ave & 86th St
University Library (NU)
Dearborn St & Erie St
Wallace St & 35th St
Larrabee St & Oak St
California Ave & Altgeld St
Fairbanks St & Superior St
NA
Cottage Grove Ave & 51st St
Kedzie Ave & 110th St
DuSable Museum
California Ave & Milwaukee Ave
Broadway & Cornelia Ave
Wabash Ave & Wacker Pl
Michigan Ave & Lake St
Elizabeth St & Fulton St
Southport Ave & Belmont Ave
Calumet Ave & 51st St
Leavitt St & Lawrence Ave
LaSalle Dr & Huron St
Benson Ave & Church St
Clark St & Schiller St
Morgan Ave & 14th Pl
State St & Chicago Ave
Halsted St & Willow St
